request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_61,0.0,affordable_later,wait,none,2024-05-15,none,Decision is affordable_later with recommendation wait.
request_62,404.23,affordable_now,full_payment,2025-08-05:404.23,2025-08-05,none,Decision is affordable_now with recommendation full_payment.
request_63,0.0,affordable_later,wait,none,2026-09-15,none,Decision is affordable_later with recommendation wait.
request_64,0.0,affordable_later,wait,none,2024-08-15,none,Decision is affordable_later with recommendation wait.
request_65,0.0,not_affordable,not_recommended,none,,none,Decision is not_affordable with recommendation not_recommended.
request_66,22200.0,affordable_now,full_payment,2026-04-03:22200.0,2026-04-03,none,Decision is affordable_now with recommendation full_payment.
request_67,0.0,affordable_later,wait,none,2024-09-15,none,Decision is affordable_later with recommendation wait.
request_68,0.0,affordable_later,wait,none,2025-04-15,none,Decision is affordable_later with recommendation wait.
request_69,0.0,not_affordable,not_recommended,none,,none,Decision is not_affordable with recommendation not_recommended.
request_70,0.0,affordable_later,wait,none,2025-02-15,none,Decision is affordable_later with recommendation wait.
request_71,0.0,not_affordable,not_recommended,none,,none,Decision is not_affordable with recommendation not_recommended.
request_72,0.0,not_affordable,not_recommended,none,,none,Decision is not_affordable with recommendation not_recommended.
request_73,0.0,not_affordable,not_recommended,none,,none,Decision is not_affordable with recommendation not_recommended.
request_74,5010.0,affordable_now,full_payment,2025-08-04:5010.0,2025-08-04,none,Decision is affordable_now with recommendation full_payment.
request_75,28270.0,affordable_now,full_payment,2026-04-06:28270.0,2026-04-06,none,Decision is affordable_now with recommendation full_payment.
request_76,0.0,not_affordable,not_recommended,none,,none,Decision is not_affordable with recommendation not_recommended.
request_77,0.0,not_affordable,not_recommended,none,,none,Decision is not_affordable with recommendation not_recommended.
request_78,0.0,not_affordable,not_recommended,none,,none,Decision is not_affordable with recommendation not_recommended.
request_79,0.0,not_affordable,not_recommended,none,,none,Decision is not_affordable with recommendation not_recommended.
request_80,0.0,not_affordable,not_recommended,none,,none,Decision is not_affordable with recommendation not_recommended.
request_81,0.0,not_affordable,not_recommended,none,,none,Decision is not_affordable with recommendation not_recommended.
request_82,0.0,affordable_later,wait,none,2025-02-15,none,Decision is affordable_later with recommendation wait.
request_83,0.0,not_affordable,not_recommended,none,,none,Decision is not_affordable with recommendation not_recommended.
request_84,0.0,affordable_later,wait,none,2026-06-15,none,Decision is affordable_later with recommendation wait.
request_85,0.0,affordable_later,wait,none,2024-04-15,none,Decision is affordable_later with recommendation wait.
request_86,0.0,not_affordable,not_recommended,none,,none,Decision is not_affordable with recommendation not_recommended.
request_87,0.0,not_affordable,not_recommended,none,,none,Decision is not_affordable with recommendation not_recommended.
request_88,0.0,affordable_later,wait,none,2024-06-15,none,Decision is affordable_later with recommendation wait.
request_89,0.0,affordable_later,wait,none,2026-01-15,none,Decision is affordable_later with recommendation wait.
request_90,2560.0,affordable_now,full_payment,2026-07-06:2560.0,2026-07-06,none,Decision is affordable_now with recommendation full_payment.
request_91,0.0,affordable_later,wait,none,2024-11-15,none,Decision is affordable_later with recommendation wait.
request_92,0.0,not_affordable,not_recommended,none,,none,Decision is not_affordable with recommendation not_recommended.
request_93,551.7000000000003,affordable_with_plan,installments,2026-04-10:311.26|2026-05-08:311.26|2026-06-05:311.26|2026-07-03:311.26|2026-07-31:311.26|2026-08-28:311.26,2026-04-15,none,Decision is affordable_with_plan with recommendation installments.
request_94,572.0,affordable_now,full_payment,2024-12-04:572.0,2024-12-04,none,Decision is affordable_now with recommendation full_payment.
request_95,0.0,not_affordable,not_recommended,none,,none,Decision is not_affordable with recommendation not_recommended.
request_96,0.0,not_affordable,not_recommended,none,,none,Decision is not_affordable with recommendation not_recommended.
request_97,0.0,affordable_later,wait,none,2024-04-15,none,Decision is affordable_later with recommendation wait.
request_98,0.0,not_affordable,not_recommended,none,,none,Decision is not_affordable with recommendation not_recommended.
request_99,0.0,not_affordable,not_recommended,none,,none,Decision is not_affordable with recommendation not_recommended.
request_100,0.0,affordable_later,wait,none,2024-07-15,none,Decision is affordable_later with recommendation wait.
request_101,0.0,not_affordable,not_recommended,none,,none,Decision is not_affordable with recommendation not_recommended.
request_102,1716.0,affordable_now,full_payment,2026-04-05:1716.0,2026-04-05,none,Decision is affordable_now with recommendation full_payment.
request_103,0.0,not_affordable,not_recommended,none,,none,Decision is not_affordable with recommendation not_recommended.
request_104,0.0,affordable_later,wait,none,2025-04-15,none,Decision is affordable_later with recommendation wait.
request_105,0.0,not_affordable,not_recommended,none,,none,Decision is not_affordable with recommendation not_recommended.
request_106,0.0,affordable_later,wait,none,2025-02-15,none,Decision is affordable_later with recommendation wait.
request_107,0.0,not_affordable,not_recommended,none,,none,Decision is not_affordable with recommendation not_recommended.
request_108,0.0,not_affordable,not_recommended,none,,none,Decision is not_affordable with recommendation not_recommended.
request_109,0.0,affordable_later,wait,none,2024-05-15,none,Decision is affordable_later with recommendation wait.
request_110,22352.0,affordable_now,full_payment,2025-08-06:22352.0,2025-08-06,none,Decision is affordable_now with recommendation full_payment.
request_111,946136.6499999873,affordable_later,wait,none,2026-04-15,none,Decision is affordable_later with recommendation wait.
request_112,0.0,not_affordable,not_recommended,none,,none,Decision is not_affordable with recommendation not_recommended.
request_113,0.0,not_affordable,not_recommended,none,,none,Decision is not_affordable with recommendation not_recommended.
request_114,0.0,not_affordable,not_recommended,none,,none,Decision is not_affordable with recommendation not_recommended.
request_115,0.0,affordable_later,wait,none,2024-09-15,none,Decision is affordable_later with recommendation wait.
request_116,0.0,not_affordable,not_recommended,none,,none,Decision is not_affordable with recommendation not_recommended.
request_117,0.0,not_affordable,not_recommended,none,,none,Decision is not_affordable with recommendation not_recommended.
request_118,0.0,not_affordable,not_recommended,none,,none,Decision is not_affordable with recommendation not_recommended.
request_119,0.0,not_affordable,not_recommended,none,,none,Decision is not_affordable with recommendation not_recommended.
request_120,0.0,not_affordable,not_recommended,none,,none,Decision is not_affordable with recommendation not_recommended.
request_121,0.0,not_affordable,not_recommended,none,,none,Decision is not_affordable with recommendation not_recommended.
request_122,20558000.0,affordable_now,full_payment,2025-08-05:20558000.0,2025-08-05,none,Decision is affordable_now with recommendation full_payment.
request_123,4076000.0,affordable_now,full_payment,2026-01-07:4076000.0,2026-01-07,none,Decision is affordable_now with recommendation full_payment.
request_124,0.0,affordable_later,wait,none,2024-07-15,none,Decision is affordable_later with recommendation wait.
request_125,0.0,not_affordable,not_recommended,none,,none,Decision is not_affordable with recommendation not_recommended.
request_126,0.0,affordable_later,wait,none,2026-07-08,none,Decision is affordable_later with recommendation wait.
request_127,0.0,not_affordable,not_recommended,none,,none,Decision is not_affordable with recommendation not_recommended.
request_128,0.0,not_affordable,not_recommended,none,,none,Decision is not_affordable with recommendation not_recommended.
request_129,0.0,affordable_later,wait,none,2026-06-15,none,Decision is affordable_later with recommendation wait.
request_130,0.0,affordable_later,wait,none,2025-01-15,none,Decision is affordable_later with recommendation wait.
request_131,0.0,not_affordable,not_recommended,none,,none,Decision is not_affordable with recommendation not_recommended.
request_132,0.0,not_affordable,not_recommended,none,,none,Decision is not_affordable with recommendation not_recommended.
request_133,0.0,not_affordable,not_recommended,none,,none,Decision is not_affordable with recommendation not_recommended.
request_134,0.0,affordable_later,wait,none,2025-09-15,none,Decision is affordable_later with recommendation wait.
request_135,0.0,not_affordable,not_recommended,none,,none,Decision is not_affordable with recommendation not_recommended.
request_136,0.0,not_affordable,not_recommended,none,,none,Decision is not_affordable with recommendation not_recommended.
request_137,0.0,not_affordable,not_recommended,none,,none,Decision is not_affordable with recommendation not_recommended.
request_138,0.0,affordable_later,wait,none,2026-04-15,none,Decision is affordable_later with recommendation wait.
request_139,0.0,affordable_later,wait,none,2024-10-15,none,Decision is affordable_later with recommendation wait.
request_140,0.0,not_affordable,not_recommended,none,,none,Decision is not_affordable with recommendation not_recommended.
request_141,0.0,not_affordable,not_recommended,none,,none,Decision is not_affordable with recommendation not_recommended.
request_142,1263.6,affordable_now,full_payment,2024-12-05:1263.6,2024-12-05,none,Decision is affordable_now with recommendation full_payment.
request_143,0.0,affordable_later,wait,none,2025-07-15,none,Decision is affordable_later with recommendation wait.
request_144,0.0,not_affordable,not_recommended,none,,none,Decision is not_affordable with recommendation not_recommended.
request_145,0.0,affordable_later,wait,none,2024-05-15,none,Decision is affordable_later with recommendation wait.
request_146,0.0,affordable_later,wait,none,2025-09-15,none,Decision is affordable_later with recommendation wait.
request_147,0.0,not_affordable,not_recommended,none,,none,Decision is not_affordable with recommendation not_recommended.
request_148,0.0,affordable_later,wait,none,2024-07-15,none,Decision is affordable_later with recommendation wait.
request_149,0.0,affordable_later,wait,none,2026-01-15,none,Decision is affordable_later with recommendation wait.
request_150,0.0,not_affordable,not_recommended,none,,none,Decision is not_affordable with recommendation not_recommended.
request_151,0.0,not_affordable,not_recommended,none,,none,Decision is not_affordable with recommendation not_recommended.
request_152,0.0,not_affordable,not_recommended,none,,none,Decision is not_affordable with recommendation not_recommended.
request_153,0.0,not_affordable,not_recommended,none,,none,Decision is not_affordable with recommendation not_recommended.
request_154,0.0,not_affordable,not_recommended,none,,none,Decision is not_affordable with recommendation not_recommended.
request_155,0.0,not_affordable,not_recommended,none,,none,Decision is not_affordable with recommendation not_recommended.
request_156,0.0,affordable_later,wait,none,2026-05-15,none,Decision is affordable_later with recommendation wait.
request_157,0.0,affordable_later,wait,none,2024-04-15,none,Decision is affordable_later with recommendation wait.
request_158,242600.0,affordable_now,full_payment,2025-08-07:242600.0,2025-08-07,none,Decision is affordable_now with recommendation full_payment.
request_159,10244.48,affordable_with_plan,partial_payment,2026-01-04:10244.48|2026-01-05:3153.5200000000004,2026-01-05,none,Decision is affordable_with_plan with recommendation partial_payment.
request_160,0.0,affordable_later,wait,none,2024-07-15,none,Decision is affordable_later with recommendation wait.
request_161,0.0,not_affordable,not_recommended,none,,none,Decision is not_affordable with recommendation not_recommended.
request_162,0.0,not_affordable,not_recommended,none,,none,Decision is not_affordable with recommendation not_recommended.
request_163,0.0,affordable_later,wait,none,2024-11-15,none,Decision is affordable_later with recommendation wait.
request_164,0.0,affordable_later,wait,none,2025-02-15,none,Decision is affordable_later with recommendation wait.
request_165,80600.0,affordable_now,full_payment,2026-04-06:80600.0,2026-04-06,none,Decision is affordable_now with recommendation full_payment.
request_166,2907.6,affordable_now,full_payment,2024-12-03:2907.6,2024-12-03,none,Decision is affordable_now with recommendation full_payment.
request_167,0.0,not_affordable,not_recommended,none,,none,Decision is not_affordable with recommendation not_recommended.
request_168,0.0,not_affordable,not_recommended,none,,none,Decision is not_affordable with recommendation not_recommended.
request_169,0.0,affordable_later,wait,none,2024-05-15,none,Decision is affordable_later with recommendation wait.
request_170,0.0,not_affordable,not_recommended,none,,none,Decision is not_affordable with recommendation not_recommended.
request_171,0.0,not_affordable,not_recommended,none,,none,Decision is not_affordable with recommendation not_recommended.
request_172,0.0,not_affordable,not_recommended,none,,none,Decision is not_affordable with recommendation not_recommended.
request_173,0.0,not_affordable,not_recommended,none,,none,Decision is not_affordable with recommendation not_recommended.
request_174,1146.2,affordable_now,full_payment,2026-04-04:1146.2,2026-04-04,none,Decision is affordable_now with recommendation full_payment.
request_175,1141.289999999999,affordable_later,wait,none,2024-09-15,none,Decision is affordable_later with recommendation wait.
request_176,0.0,not_affordable,not_recommended,none,,none,Decision is not_affordable with recommendation not_recommended.
request_177,0.0,not_affordable,not_recommended,none,,none,Decision is not_affordable with recommendation not_recommended.
request_178,2938.1,affordable_now,full_payment,2024-12-07:2938.1,2024-12-07,none,Decision is affordable_now with recommendation full_payment.
request_179,0.0,affordable_later,wait,none,2025-07-15,none,Decision is affordable_later with recommendation wait.
request_180,0.0,not_affordable,not_recommended,none,,none,Decision is not_affordable with recommendation not_recommended.
request_181,0.0,not_affordable,not_recommended,none,,none,Decision is not_affordable with recommendation not_recommended.
request_182,9804.070000000007,affordable_later,wait,none,2025-08-15,none,Decision is affordable_later with recommendation wait.
request_183,0.0,not_affordable,not_recommended,none,,none,Decision is not_affordable with recommendation not_recommended.
request_184,0.0,not_affordable,not_recommended,none,,none,Decision is not_affordable with recommendation not_recommended.
request_185,0.0,not_affordable,not_recommended,none,,none,Decision is not_affordable with recommendation not_recommended.
request_186,0.0,not_affordable,not_recommended,none,,none,Decision is not_affordable with recommendation not_recommended.
request_187,0.0,affordable_later,wait,none,2024-10-15,none,Decision is affordable_later with recommendation wait.
request_188,0.0,not_affordable,not_recommended,none,,none,Decision is not_affordable with recommendation not_recommended.
request_189,0.0,not_affordable,not_recommended,none,,none,Decision is not_affordable with recommendation not_recommended.
request_190,0.0,affordable_later,wait,none,2025-02-15,none,Decision is affordable_later with recommendation wait.
request_191,0.0,affordable_later,wait,none,2025-05-15,none,Decision is affordable_later with recommendation wait.
request_192,0.0,not_affordable,not_recommended,none,,none,Decision is not_affordable with recommendation not_recommended.
request_193,0.0,affordable_later,wait,none,2024-03-15,none,Decision is affordable_later with recommendation wait.
request_194,0.0,affordable_later,wait,none,2025-10-15,none,Decision is affordable_later with recommendation wait.
request_195,0.0,not_affordable,not_recommended,none,,none,Decision is not_affordable with recommendation not_recommended.
request_196,129.17999999999984,affordable_later,wait,none,2024-06-15,none,Decision is affordable_later with recommendation wait.
request_197,0.0,not_affordable,not_recommended,none,,none,Decision is not_affordable with recommendation not_recommended.
request_198,32136.02999999991,affordable_with_plan,partial_payment,2026-07-07:32136.02999999991|2026-07-15:153663.9700000001,2026-07-15,none,Decision is affordable_with_plan with recommendation partial_payment.
request_199,23674000.0,affordable_now,full_payment,2024-09-04:23674000.0,2024-09-04,none,Decision is affordable_now with recommendation full_payment.
request_200,0.0,affordable_later,wait,none,2025-02-15,none,Decision is affordable_later with recommendation wait.
request_201,0.0,not_affordable,not_recommended,none,,none,Decision is not_affordable with recommendation not_recommended.
request_202,0.0,not_affordable,not_recommended,none,,none,Decision is not_affordable with recommendation not_recommended.
request_203,1442.1,affordable_now,full_payment,2025-05-07:1442.1,2025-05-07,none,Decision is affordable_now with recommendation full_payment.
request_204,0.0,not_affordable,not_recommended,none,,none,Decision is not_affordable with recommendation not_recommended.
request_205,0.0,affordable_later,wait,none,2024-05-15,none,Decision is affordable_later with recommendation wait.
request_206,1371.27,affordable_with_plan,partial_payment,2025-08-03:1371.27|2025-08-08:33.430000000000064,2025-08-08,none,Decision is affordable_with_plan with recommendation partial_payment.
request_207,0.0,not_affordable,not_recommended,none,,none,Decision is not_affordable with recommendation not_recommended.
request_208,0.0,not_affordable,not_recommended,none,,none,Decision is not_affordable with recommendation not_recommended.
request_209,0.0,not_affordable,not_recommended,none,,none,Decision is not_affordable with recommendation not_recommended.
request_210,0.0,affordable_later,wait,none,2026-04-15,none,Decision is affordable_later with recommendation wait.
request_211,0.0,affordable_later,wait,none,2024-10-15,none,Decision is affordable_later with recommendation wait.
request_212,0.0,not_affordable,not_recommended,none,,none,Decision is not_affordable with recommendation not_recommended.
request_213,0.0,not_affordable,not_recommended,none,,none,Decision is not_affordable with recommendation not_recommended.
request_214,0.0,not_affordable,not_recommended,none,,none,Decision is not_affordable with recommendation not_recommended.
request_215,29986.0,affordable_now,full_payment,2025-05-06:29986.0,2025-05-06,none,Decision is affordable_now with recommendation full_payment.
request_216,0.0,affordable_later,wait,none,2026-09-15,none,Decision is affordable_later with recommendation wait.
request_217,0.0,affordable_later,wait,none,2024-05-15,none,Decision is affordable_later with recommendation wait.
request_218,0.0,affordable_later,wait,none,2025-08-15,none,Decision is affordable_later with recommendation wait.
request_219,0.0,not_affordable,not_recommended,none,,none,Decision is not_affordable with recommendation not_recommended.
request_220,0.0,not_affordable,not_recommended,none,,none,Decision is not_affordable with recommendation not_recommended.
request_221,0.0,not_affordable,not_recommended,none,,none,Decision is not_affordable with recommendation not_recommended.
request_222,34078.0,affordable_now,full_payment,2026-01-05:34078.0,2026-01-05,none,Decision is affordable_now with recommendation full_payment.
request_223,0.0,affordable_later,wait,none,2024-09-15,none,Decision is affordable_later with recommendation wait.
request_224,0.0,not_affordable,not_recommended,none,,none,Decision is not_affordable with recommendation not_recommended.
request_225,0.0,affordable_later,wait,none,2026-09-15,none,Decision is affordable_later with recommendation wait.
request_226,0.0,not_affordable,not_recommended,none,,none,Decision is not_affordable with recommendation not_recommended.
request_227,0.0,affordable_later,wait,none,2025-06-15,none,Decision is affordable_later with recommendation wait.
request_228,0.0,not_affordable,not_recommended,none,,none,Decision is not_affordable with recommendation not_recommended.
request_229,0.0,affordable_later,wait,none,2024-05-15,none,Decision is affordable_later with recommendation wait.
request_230,680.3999999999996,affordable_with_plan,installments,2025-08-09:259.42|2025-09-08:259.42|2025-10-08:259.42|2025-11-07:259.42|2025-12-07:259.42|2026-01-06:259.42|2026-02-05:259.42|2026-03-07:259.42|2026-04-06:259.42|2026-05-06:259.42|2026-06-05:259.42|2026-07-05:259.42|2026-08-04:259.42|2026-09-03:259.42|2026-10-03:259.42,2025-10-15,none,Decision is affordable_with_plan with recommendation installments.
request_231,0.0,affordable_later,wait,none,2026-03-15,none,Decision is affordable_later with recommendation wait.
request_232,0.0,not_affordable,not_recommended,none,,none,Decision is not_affordable with recommendation not_recommended.
request_233,0.0,not_affordable,not_recommended,none,,none,Decision is not_affordable with recommendation not_recommended.
request_234,0.0,affordable_later,wait,none,2026-08-15,none,Decision is affordable_later with recommendation wait.
request_235,0.0,not_affordable,not_recommended,none,,none,Decision is not_affordable with recommendation not_recommended.
request_236,0.0,not_affordable,not_recommended,none,,none,Decision is not_affordable with recommendation not_recommended.
request_237,0.0,not_affordable,not_recommended,none,,none,Decision is not_affordable with recommendation not_recommended.
request_238,183.24000000000046,affordable_later,wait,none,2025-01-15,none,Decision is affordable_later with recommendation wait.
request_239,0.0,not_affordable,not_recommended,none,,none,Decision is not_affordable with recommendation not_recommended.
request_240,0.0,not_affordable,not_recommended,none,,none,Decision is not_affordable with recommendation not_recommended.
request_241,0.0,affordable_later,wait,none,2024-05-15,none,Decision is affordable_later with recommendation wait.
request_242,0.0,not_affordable,not_recommended,none,,none,Decision is not_affordable with recommendation not_recommended.
request_243,0.0,affordable_later,wait,none,2026-07-15,none,Decision is affordable_later with recommendation wait.
request_244,0.0,not_affordable,not_recommended,none,,none,Decision is not_affordable with recommendation not_recommended.
request_245,0.0,affordable_later,wait,none,2026-01-15,none,Decision is affordable_later with recommendation wait.
request_246,32073.780000000057,affordable_later,wait,none,2026-04-15,none,Decision is affordable_later with recommendation wait.
request_247,0.0,affordable_later,wait,none,2024-09-15,none,Decision is affordable_later with recommendation wait.
request_248,0.0,affordable_later,wait,none,2025-04-15,none,Decision is affordable_later with recommendation wait.
request_249,0.0,not_affordable,not_recommended,none,,none,Decision is not_affordable with recommendation not_recommended.
request_250,0.0,not_affordable,not_recommended,none,,none,Decision is not_affordable with recommendation not_recommended.
request_251,1223.2600000000002,affordable_later,wait,none,2025-05-05,none,Decision is affordable_later with recommendation wait.
request_252,0.0,affordable_later,wait,none,2026-07-15,none,Decision is affordable_later with recommendation wait.
request_253,0.0,not_affordable,not_recommended,none,,none,Decision is not_affordable with recommendation not_recommended.
request_254,0.0,affordable_later,wait,none,2025-09-15,none,Decision is affordable_later with recommendation wait.
request_255,3345000.0,affordable_now,full_payment,2026-04-06:3345000.0,2026-04-06,none,Decision is affordable_now with recommendation full_payment.
request_256,0.0,not_affordable,not_recommended,none,,none,Decision is not_affordable with recommendation not_recommended.
request_257,0.0,affordable_later,wait,none,2026-01-15,none,Decision is affordable_later with recommendation wait.
request_258,204.3599999999998,affordable_with_plan,installments,2026-01-10:70.53|2026-02-10:70.53|2026-03-13:70.53|2026-04-13:70.53|2026-05-14:70.53|2026-06-14:70.53|2026-07-15:70.53|2026-08-15:70.53|2026-09-15:70.53|2026-10-16:70.53|2026-11-16:70.53|2026-12-17:70.53|2027-01-17:70.53|2027-02-17:70.53|2027-03-20:70.53|2027-04-20:70.53|2027-05-21:70.53|2027-06-21:70.53,2026-03-15,none,Decision is affordable_with_plan with recommendation installments.
request_259,0.0,affordable_later,wait,none,2024-11-15,none,Decision is affordable_later with recommendation wait.
request_260,0.0,affordable_later,wait,none,2025-04-15,none,Decision is affordable_later with recommendation wait.
request_261,0.0,affordable_later,wait,none,2026-07-15,none,Decision is affordable_later with recommendation wait.
request_262,0.0,not_affordable,not_recommended,none,,none,Decision is not_affordable with recommendation not_recommended.
request_263,0.0,not_affordable,not_recommended,none,,none,Decision is not_affordable with recommendation not_recommended.
request_264,0.0,affordable_later,wait,none,2026-05-15,none,Decision is affordable_later with recommendation wait.
request_265,0.0,not_affordable,not_recommended,none,,none,Decision is not_affordable with recommendation not_recommended.
request_266,0.0,not_affordable,not_recommended,none,,none,Decision is not_affordable with recommendation not_recommended.
request_267,0.0,not_affordable,not_recommended,none,,none,Decision is not_affordable with recommendation not_recommended.
request_268,0.0,affordable_later,wait,none,2024-07-15,none,Decision is affordable_later with recommendation wait.
request_269,0.0,not_affordable,not_recommended,none,,none,Decision is not_affordable with recommendation not_recommended.
request_270,0.0,affordable_later,wait,none,2026-08-15,none,Decision is affordable_later with recommendation wait.
request_271,0.0,affordable_later,wait,none,2024-11-15,none,Decision is affordable_later with recommendation wait.
request_272,0.0,affordable_later,wait,none,2025-02-15,none,Decision is affordable_later with recommendation wait.
request_273,0.0,affordable_later,wait,none,2026-04-15,none,Decision is affordable_later with recommendation wait.
request_274,0.0,not_affordable,not_recommended,none,,none,Decision is not_affordable with recommendation not_recommended.
request_275,0.0,affordable_later,wait,none,2025-07-15,none,Decision is affordable_later with recommendation wait.
